PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-05-01,16:05:00.00,1,1,"Wilson, Fred",1000098669,Left,MER_BEA,"Martin, Maximus",10280106,Right,GEO_PAN,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallinDirt,Undefined,Undefined,Undefined,0,0,,88.20722,-4.734709,1.213377,2064.38295,155.175217,11:15,6.56464,-0.68662,5.47239,-18.09084,18.89513,-8.13634,0.61499,-0.22894,80.27619,-8.124501,-0.236258,0.437713,,,,,,,,,,,,4.46,11.32863,0.58565,50,6.13544,-2.34138,-127.50549,-11.12735,7.28661,28.07378,-13.66569,MER_BEA,GEO_PAN,MercerUniversity,D1,SOCON,20240501-MercerUniversity-1,174baf40-07f6-11ef-a369-bb34f461b894,86.11213,,,7.93103,,,,,,,4b2cb0ff-7b40-4020-8816-3ec9b0d3d6d9,2024-05-01,20:05:00.00,2024-05-01T16:05:00.0040520-04:00,2024-05-01T20:05:00.0040520Z,,v3,471354,471304,01 May 2024 16:00-georgiast@mercer,"Sanford, Carter",1000093957,Right,MER_BEA,1df7e197-dc60-4c10-bfc1-3fe579d5143c,55.02692,-128.60754,14.03689,6.56172,-10.59089,-6.83284,0.68318,-2.62742,3.6433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-05-01,16:05:10.84,1,2,"Wilson, Fred",1000098669,Left,MER_BEA,"Martin, Maximus",10280106,Right,GEO_PAN,Undefined,1,Top,0,1,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,89.47056,-2.285883,0.715841,2160.326706,164.27361,11:30,6.39046,-0.77908,5.46146,-12.42938,23.58458,-6.26803,3.21371,-0.63133,80.56073,-4.714484,-0.399918,0.431923,,,,,,,,,,,,3.34567,12.91493,0.72027,50,6.18081,-1.32702,-129.5537,-5.47204,5.607,30.58331,-10.52989,MER_BEA,GEO_PAN,MercerUniversity,D1,SOCON,20240501-MercerUniversity-1,1dc76210-07f6-11ef-a369-bb34f461b894,87.26649,,,8.90983,,,,,,,4b2cb0ff-7b40-4020-8816-3ec9b0d3d6d9,2024-05-01,20:05:10.84,2024-05-01T16:05:10.8437064-04:00,2024-05-01T20:05:10.8437064Z,,v3,471354,471304,01 May 2024 16:00-georgiast@mercer,"Sanford, Carter",1000093957,Right,MER_BEA,93c89814-1375-4262-b381-6044a1c36f63,55.03471,-130.73682,15.29166,6.38462,-5.06469,-5.26494,0.7758,-1.54393,2.8035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-05-01,16:05:22.94,1,3,"Wilson, Fred",1000098669,Left,MER_BEA,"Martin, Maximus",10280106,Right,GEO_PAN,Undefined,1,Top,0,1,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.10873,-1.140915,0.812308,2116.542069,150.910101,11:00,6.37731,-0.83676,5.44737,-17.44749,18.78092,-9.72693,3.85488,-0.88674,80.37818,-4.461346,-0.919026,0.433208,,,,,,,,,,,,5.10492,10.15512,0.77172,50,6.26489,-1.38285,-129.13478,-3.10552,8.51181,30.04502,-15.2416,MER_BEA,GEO_PAN,MercerUniversity,D1,SOCON,20240501-MercerUniversity-1,24fdb250-07f6-11ef-a369-bb34f461b894,87.00781,,,8.73055,,,,,,,4b2cb0ff-7b40-4020-8816-3ec9b0d3d6d9,2024-05-01,20:05:22.94,2024-05-01T16:05:22.9458504-04:00,2024-05-01T20:05:22.9458504Z,,v3,471354,471304,01 May 2024 16:00-georgiast@mercer,"Sanford, Carter",1000093957,Right,MER_BEA,e0b796b5-8c6d-44a5-b322-e6a2abac4396,55.0497,-130.30436,15.02251,6.37423,-2.51219,-7.6208,0.83199,-1.7142,4.2559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-05-01,16:05:33.81,1,4,"Wilson, Fred",1000098669,Left,MER_BEA,"Martin, Maximus",10280106,Right,GEO_PAN,Undefined,1,Top,0,2,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.30088,-3.044077,0.707393,2160.277523,166.849405,11:30,6.36283,-0.74525,5.6265,-13.76698,22.01092,-4.84709,2.37208,-0.48903,80.9158,-5.698277,-0.158198,0.430506,71.32223,41.980741,145.691439,3199.007001,,,,,37.38011,,,2.67319,12.45607,0.68816,50,6.09471,-1.38437,-129.37632,-7.25079,4.48771,29.39154,-11.26305,MER_BEA,GEO_PAN,MercerUniversity,D1,SOCON,20240501-MercerUniversity-1,2b721220-07f6-11ef-a369-bb34f461b894,87.55389,30.70533,,8.38508,,,,0.39438,2.37185,0.50629,4b2cb0ff-7b40-4020-8816-3ec9b0d3d6d9,2024-05-01,20:05:33.81,2024-05-01T16:05:33.8153544-04:00,2024-05-01T20:05:33.8153544Z,,v3,471354,471304,01 May 2024 16:00-georgiast@mercer,"Sanford, Carter",1000093957,Right,MER_BEA,539b9c4a-da4e-4bfc-bca5-5f69620663cf,54.87284,-130.47863,14.69577,6.35873,-6.82838,-5.63153,0.74323,-1.55268,2.24386,322.952541,0.39438,-64.23148,1.48674,1.22261,-0.44229,0.13485,-0.02959,0.00474,0.00039,2.37185,69.96879,-28.54143,3.65602,-0.78164,0.14802,-0.02858,0.00594,-0.00078,0.50629,43.82981,-9.19182,1.93095,-0.41417,0.0744,-0.0156,0.00339,-0.00058,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2024-05-01,16:05:49.80,1,5,"Wilson, Fred",1000098669,Left,MER_BEA,"Martin, Maximus",10280106,Right,GEO_PAN,Undefined,1,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,FlyBall,Out,1,0,,89.61135,-3.140937,0.272929,2082.550334,160.187682,11:15,6.25766,-0.81438,5.58786,-14.84548,20.63643,-6.99516,2.08446,-1.14243,81.47146,-5.974105,-0.975613,0.428721,84.92865,23.657381,8.862134,3533.04137,107.55525,41.76547,23.06093,291.70922,287.46076,15.987001,3.948753,3.63,11.74886,0.79565,50,5.97832,-0.31115,-129.86324,-7.55573,6.15781,28.88089,-12.2436,MER_BEA,GEO_PAN,MercerUniversity,D1,SOCON,20240501-MercerUniversity-1,34fd9d00-07f6-11ef-a369-bb34f461b894,87.91833,49.21872,,8.13989,,,,0.99361,2.18182,1.1491,4b2cb0ff-7b40-4020-8816-3ec9b0d3d6d9,2024-05-01,20:05:49.80,2024-05-01T16:05:49.8059848-04:00,2024-05-01T20:05:49.8059848Z,LineDrive,v3,471354,471304,01 May 2024 16:00-georgiast@mercer,"Sanford, Carter",1000093957,Right,MER_BEA,0627926d-e841-4406-86b4-a7b378081493,54.91228,-130.95115,14.44044,6.25425,-7.09453,-6.1218,0.81174,-0.5431,3.0789,204.588122,0.99315,112.74189,-21.39616,5.04846,-1.07887,0.23711,-0.04998,0.0072,-0.00045,2.18257,49.96725,-13.23165,-0.31587,0.2987,-0.12688,0.03646,-0.00536,0.0003,1.14896,17.58298,2.24183,-0.84518,0.16003,-0.00574,-0.00436,0.00088,-6E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
6,2024-05-01,16:06:24.23,2,1,"Wilson, Fred",1000098669,Left,MER_BEA,"Mize, Will",1000272936,Right,GEO_PAN,Undefined,1,Top,1,0,0,ChangeUp,Changeup,InPlay,Undefined,FlyBall,Double,0,0,,85.34252,-2.370695,1.637982,1429.341501,159.065742,11:15,6.34891,-0.80964,5.77655,-22.12021,16.31107,-5.78465,2.29737,0.23293,78.47231,-6.503797,0.601934,0.446184,108.62877,17.43114,-15.021253,1054.590747,105.45349,29.91474,-31.29725,334.88186,334.88186,-20.163307,3.175616,3.40732,9.3291,0.67793,50,6.1396,-3.31074,-123.88115,-5.81366,5.31452,23.89259,-17.6232,MER_BEA,GEO_PAN,MercerUniversity,D1,SOCON,20240501-MercerUniversity-1,497f1830-07f6-11ef-a369-bb34f461b894,84.47739,37.09932,,6.8702,,,,1.36157,2.39118,-0.25581,4b2cb0ff-7b40-4020-8816-3ec9b0d3d6d9,2024-05-01,20:06:24.23,2024-05-01T16:06:24.2379336-04:00,2024-05-01T20:06:24.2379336Z,LineDrive,v3,471354,471304,01 May 2024 16:00-georgiast@mercer,"Sanford, Carter",1000093957,Right,MER_BEA,8c1d21df-39e5-4c95-930b-579c875b07e0,54.72528,-124.78917,11.94629,6.34782,-5.1439,-8.8116,0.80759,-3.51271,2.65726,140.686133,1.36155,146.81462,-27.39776,6.75454,-1.57912,0.34052,-0.05969,0.00689,-0.00037,2.39127,47.71736,-17.87691,1.21647,-0.18105,0.02757,-0.00525,0.00093,-7E-05,-0.25581,-39.39581,1.62092,-0.32746,0.06495,-0.01281,0.00226,-0.00027,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
7,2024-05-01,16:07:13.27,3,1,"Wilson, Fred",1000098669,Left,MER_BEA,"Maginnis, Michael",90000255774,Right,GEO_PAN,Undefined,1,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.79988,-1.56057,2.367244,2178.350456,155.518103,11:15,6.28669,-0.61797,5.56618,-16.38635,19.1545,-8.14233,3.46165,0.91627,81.04532,-4.692193,0.916393,0.429077,,,,,,,,,,,,4.80504,10.4954,0.4189,50,6.14139,-5.00147,-130.04938,-4.02753,8.13506,30.18314,-14.40504,MER_BEA,GEO_PAN,MercerUniversity,D1,SOCON,20240501-MercerUniversity-1,66c3ec40-07f6-11ef-a369-bb34f461b894,87.84538,,,8.75456,,,,,,,4b2cb0ff-7b40-4020-8816-3ec9b0d3d6d9,2024-05-01,20:07:13.27,2024-05-01T16:07:13.2784200-04:00,2024-05-01T20:07:13.2784200Z,,v3,471354,471304,01 May 2024 16:00-georgiast@mercer,"Sanford, Carter",1000093957,Right,MER_BEA,2d9401d5-dd32-49a1-b421-5f7c06a9ffe5,54.93061,-131.18874,15.09157,6.28316,-3.48377,-7.20252,0.61349,-5.30855,4.06753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-05-01,16:07:28.07,3,2,"Wilson, Fred",1000098669,Left,MER_BEA,"Maginnis, Michael",90000255774,Right,GEO_PAN,Undefined,1,Top,1,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,89.69791,-2.363231,1.777285,2203.847794,145.401369,10:45,6.27643,-0.72347,5.61022,-17.22269,18.47265,-11.82965,2.63295,-0.04975,80.76875,-5.647544,-0.334288,0.430009,66.60173,54.295711,138.537088,3973.79224,,,,,30.84761,,,6.60933,10.52485,0.57948,50,6.06354,-3.51256,-129.90764,-5.88697,11.10564,31.45834,-14.48915,MER_BEA,GEO_PAN,MercerUniversity,D1,SOCON,20240501-MercerUniversity-1,6f8a2b50-07f6-11ef-a369-bb34f461b894,87.65509,39.03537,,8.92916,,,,1.30511,2.67294,0.04733,4b2cb0ff-7b40-4020-8816-3ec9b0d3d6d9,2024-05-01,20:07:28.07,2024-05-01T16:07:28.0743496-04:00,2024-05-01T20:07:28.0743496Z,,v3,471354,471304,01 May 2024 16:00-georgiast@mercer,"Sanford, Carter",1000093957,Right,MER_BEA,e81fc128-10f7-4253-8a3e-1e1815900299,54.88976,-131.08639,15.72917,6.27395,-5.34406,-7.24457,0.71889,-3.92869,5.55282,336.53353,1.30511,-42.72061,-1.83482,1.70326,-0.98363,2.64626,-6.85324,9.16212,-4.70742,2.67294,79.32202,-29.61475,3.86458,-1.17019,1.9527,-4.79377,6.27558,-3.17319,0.04733,37.74677,-5.72972,1.13803,-0.37588,0.83577,-2.12321,2.78902,-1.41202,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2024-05-01,16:07:59.07,3,3,"Wilson, Fred",1000098669,Left,MER_BEA,"Maginnis, Michael",90000255774,Right,GEO_PAN,Undefined,1,Top,1,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.72607,0.211789,0.953085,2254.507829,340.459358,5:15,6.26151,-0.52934,5.11231,-49.95841,-3.47445,1.75512,2.29787,0.51494,72.35324,-8.823033,1.264197,0.490708,,,,,,,,,,,,-0.59953,-1.31496,0.43814,50,6.2425,-1.97287,-114.24948,-1.37279,-0.79061,21.49818,-33.90812,MER_BEA,GEO_PAN,MercerUniversity,D1,SOCON,20240501-MercerUniversity-1,8214df90-07f6-11ef-a369-bb34f461b894,76.81238,,,6.37283,,,,,,,4b2cb0ff-7b40-4020-8816-3ec9b0d3d6d9,2024-05-01,20:07:59.07,2024-05-01T16:07:59.0799944-04:00,2024-05-01T20:07:59.0799944Z,,v3,471354,471304,01 May 2024 16:00-georgiast@mercer,"Sanford, Carter",1000093957,Right,MER_BEA,69edfbc8-8c50-400f-af2e-d5de102257a8,55.38954,-115.25916,10.74909,6.26958,0.21973,-16.95406,0.52992,-1.93574,-0.39531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-05-01,16:08:14.90,3,4,"Wilson, Fred",1000098669,Left,MER_BEA,"Maginnis, Michael",90000255774,Right,GEO_PAN,Undefined,1,Top,1,1,2,Slider,Slider,BallinDirt,Undefined,Undefined,Undefined,0,0,,80.42722,-2.833393,1.72227,2295.063484,20.51661,6:45,6.21254,-0.44358,5.20054,-47.26329,-2.47024,-1.48492,-0.39451,1.05312,73.95397,-11.334594,1.458114,0.4817,,,,,,,,,,,,1.28146,-0.06287,0.28516,50,5.9135,-3.44436,-116.50992,-7.44111,1.74431,23.87577,-32.25966,MER_BEA,GEO_PAN,MercerUniversity,D1,SOCON,20240501-MercerUniversity-1,8b7821f0-07f6-11ef-a369-bb34f461b894,78.24877,,,6.47325,,,,,,,4b2cb0ff-7b40-4020-8816-3ec9b0d3d6d9,2024-05-01,20:08:14.90,2024-05-01T16:08:14.9091400-04:00,2024-05-01T20:08:14.9091400Z,,v3,471354,471304,01 May 2024 16:00-georgiast@mercer,"Sanford, Carter",1000093957,Right,MER_BEA,a1f0dda6-9f3c-4965-be15-67ee3b175768,55.30294,-117.59161,11.93789,6.21751,-5.97959,-16.12983,0.44299,-3.52339,0.87216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
